date,last_read,new_read,withdrawl,withdrawl_price,withdrawl_by_cash,paid,left
2025-08-07,0.0,2.5,2.5,45.0,112.5,163.0,50.5
2025-08-13,2.5,6.6,4.1,43.7,179.17,223.0,43.83000000000001
2025-08-21,6.6,12.4,5.800000000000001,40.0,232.00000000000003,254.0,21.99999999999997
2025-08-29,12.4,20.0,7.6,35.0,266.0,266.0,0.0
