date,last_read,new_read,withdrawl,withdrawl_price,withdrawl_by_cash,paid,left
2025-08-07,0.0,0.5,0.5,45.0,22.5,5.0,-17.5
2025-08-13,0.5,3.5,3.0,43.7,131.10000000000002,148.0,16.899999999999977
2025-08-21,3.5,5.6,2.1,40.0,83.99999999999999,94.0,10.000000000000014
2025-08-29,5.6,7.0,1.4000000000000004,35.0,49.000000000000014,49.0,-1.4210854715202004e-14
